date,close,open,high,low,volume
2020-08-10T00:00:00+09:00,13400.0,13600.0,13700.0,13200.0,1574383.0
2020-08-11T00:00:00+09:00,13550.0,13600.0,13800.0,13400.0,1388867.0
2020-08-12T00:00:00+09:00,14950.0,13900.0,15050.0,13850.0,8149947.0
2020-08-13T00:00:00+09:00,15000.0,14850.0,15150.0,14550.0,2861416.0
2020-08-14T00:00:00+09:00,14700.0,15050.0,15650.0,14650.0,3181268.0
2020-08-18T00:00:00+09:00,13500.0,14200.0,14250.0,13150.0,2638119.0
2020-08-19T00:00:00+09:00,13500.0,13400.0,13700.0,13000.0,1455840.0
2020-08-20T00:00:00+09:00,12850.0,13400.0,13400.0,12700.0,1373060.0
2020-08-21T00:00:00+09:00,13100.0,12950.0,13150.0,12700.0,736384.0
2020-08-24T00:00:00+09:00,13050.0,12850.0,13050.0,12700.0,698269.0
2020-08-25T00:00:00+09:00,13550.0,13350.0,13550.0,13200.0,823765.0
2020-08-26T00:00:00+09:00,13200.0,13400.0,13400.0,13000.0,757879.0
2020-08-27T00:00:00+09:00,12850.0,13100.0,13150.0,12800.0,963038.0
2020-08-28T00:00:00+09:00,13100.0,12950.0,13150.0,12800.0,850194.0
2020-08-31T00:00:00+09:00,13300.0,13300.0,13350.0,13050.0,678216.0
2020-09-01T00:00:00+09:00,13750.0,13300.0,13900.0,13150.0,1414358.0
2020-09-02T00:00:00+09:00,13900.0,13950.0,14200.0,13550.0,1450275.0
2020-09-03T00:00:00+09:00,14000.0,14050.0,14050.0,13700.0,796271.0
2020-09-04T00:00:00+09:00,13750.0,13550.0,13900.0,13500.0,1210931.0
2020-09-07T00:00:00+09:00,13850.0,13750.0,14000.0,13500.0,708319.0
2020-09-08T00:00:00+09:00,14400.0,13950.0,14500.0,13850.0,1421264.0
2020-09-09T00:00:00+09:00,14200.0,14100.0,14200.0,13900.0,703506.0
2020-09-10T00:00:00+09:00,14150.0,14200.0,14250.0,13900.0,592867.0
2020-09-11T00:00:00+09:00,13950.0,14100.0,14100.0,13800.0,486919.0
2020-09-14T00:00:00+09:00,14000.0,14000.0,14050.0,13850.0,422130.0
2020-09-15T00:00:00+09:00,14100.0,14050.0,14100.0,13850.0,464383.0
2020-09-16T00:00:00+09:00,14200.0,14100.0,14200.0,13900.0,582855.0
2020-09-17T00:00:00+09:00,14500.0,14150.0,14850.0,14050.0,1801750.0
2020-09-18T00:00:00+09:00,14400.0,14600.0,14650.0,14250.0,453153.0
2020-09-21T00:00:00+09:00,14000.0,14250.0,14500.0,13900.0,648511.0
2020-09-22T00:00:00+09:00,13550.0,13900.0,13950.0,13550.0,541586.0
2020-09-23T00:00:00+09:00,13750.0,13700.0,13850.0,13350.0,362539.0
2020-09-24T00:00:00+09:00,13050.0,13450.0,13650.0,12950.0,1004230.0
2020-09-25T00:00:00+09:00,13100.0,13150.0,13300.0,13000.0,411145.0
2020-09-28T00:00:00+09:00,13550.0,13200.0,13700.0,13200.0,617741.0
2020-09-29T00:00:00+09:00,13750.0,13550.0,13750.0,13500.0,331701.0
2020-10-05T00:00:00+09:00,13650.0,13500.0,13900.0,13450.0,448018.0
2020-10-06T00:00:00+09:00,13450.0,13700.0,13700.0,13300.0,461193.0
2020-10-07T00:00:00+09:00,13450.0,13250.0,13500.0,13250.0,310267.0
2020-10-08T00:00:00+09:00,13450.0,13500.0,13550.0,13350.0,410449.0
