날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,기관합계,전체
2020-10-27,31189650,3258350,-18732200,10562100,0,0,-16170150,17413700,-1569716100,1578539600,-36344950,27521450,0
2020-10-28,212280150,2972450,82222950,3206500,0,0,24000,-12374000,-1255442850,968009550,-898750,288332050,0
2020-10-29,384422950,-539045300,-72743950,-396213600,0,0,-214720700,2820000,948520200,-113985100,945500,-835480600,0
2020-10-30,-405840300,-247314500,-118623700,25400,0,0,-881146150,45491450,2401135100,-761595800,-32131500,-1607407800,0
2020-11-02,553372700,846200,47703250,0,0,0,26307850,13915700,-714401800,65549950,6706150,642145700,0
2020-11-03,339180400,-286524350,92084300,16826650,0,-76161350,-325081700,90471350,-18502200,167603400,103500,-149204700,0
2020-11-04,157237050,-568623400,-58463100,56848600,0,-104695000,-743122300,3084000,1134454700,121983950,1295500,-1257734150,0
2020-11-05,610487900,-241254450,91000750,9481950,0,-64299800,-286623900,-3678500,-630776250,514588300,1074000,115113950,0
2020-11-06,-1528884650,-596966950,-1090309350,-102575500,0,0,-1092536300,1169750,3915334350,420271950,74496700,-4410103000,0
2020-11-09,230197150,-28911800,-90604400,-40641750,0,0,-26816750,40202550,-958972950,879822950,-4275000,83425000,0
2020-11-10,134837650,3168802700,2843177150,2819844150,133865500,274013450,2906231150,-950036150,-11393841750,228081950,-164975800,11330735600,0
2020-11-11,592214700,219282700,229453350,-170230200,0,20661450,1295169850,435867500,-2071775500,-543227900,-7415950,2622419350,0
2020-11-12,-456676850,-254778400,-191040550,-87378000,0,0,946097750,-127571600,-1093938250,1261147700,4138200,-171347650,0
2020-11-13,416369950,-64032700,-20453750,-95719450,0,0,6660000,56180650,41010850,-340847950,832400,299004700,0
2020-11-16,462378300,-145270400,-237350000,1459300,0,-167923750,132832250,26843850,-1365915000,1280698700,12246750,72969550,0
2020-11-17,-405485750,536794850,621517100,1000919050,36751250,46474050,1212163250,-638634400,-1295745200,-1072619550,-42134650,2410499400,0
2020-11-18,316522950,-34150150,-92450900,27784850,0,0,202951700,80397700,-756782250,272355650,-16629550,501056150,0
2020-11-19,-186570600,-28845250,478226550,-234841700,0,0,643292600,-168262100,-105643200,-457302150,59945850,502999500,0
2020-11-20,447773850,55379250,32717500,52206600,-7575000,0,885062000,66570150,-848879000,-678165250,-5090100,1532134350,0
2020-11-23,-677483950,-211401100,-157481050,152175500,-18812500,0,195632000,26248550,4309116250,-3537201400,-80792300,-691122550,0
2020-11-24,295310650,1308840700,-83919850,404083150,-7540850,0,845349750,47873750,-3169260350,323563300,35699750,2809997300,0
2020-11-25,-706302800,1617671750,-79228700,778704550,0,0,1696283600,-177067900,-4061483750,554591850,376831400,3130060500,0
2020-11-26,-56299750,393431950,-345500900,240052200,0,0,670446600,42875350,2915142700,-3858177200,-1970950,945005450,0
2020-11-27,385603650,107300,-260140800,-140574250,-45752000,0,-1781350,46114200,-788240200,777556500,27106950,-16423250,0
2020-11-30,-1364318650,153819400,-179465550,-601854000,0,0,-25614200,-195083050,2921126600,-757645600,49035050,-2212516050,0
2020-12-01,-420582600,288265650,727966550,-153156550,0,0,1119062850,34838450,-4370863350,2851521150,-77052150,1596394350,0
2020-12-02,1078479400,295474100,1612542300,264448750,37392550,0,222898950,488976550,-2585518800,-1387326350,-27367450,4000212600,0
2020-12-03,-1324300,14662500,-119006700,-236982800,11864750,0,-251340900,-21501300,613001850,-11679900,2306800,-603628750,0
2020-12-04,-216097000,-50266400,-361486200,-39900350,0,-159122850,483586850,-33425050,523235700,-171415500,24890800,-376711000,0
2020-12-07,165027350,16728450,305356750,-5950300,0,0,281213800,-179004350,-1287419250,684412450,19635100,583371700,0
2020-12-08,63379400,95920800,-102945050,-6577100,0,0,989173700,55527600,-937025600,237192950,-394646700,1094479350,0
2020-12-09,112692850,-32923950,-51249900,-35093550,0,0,-35900200,86711800,853805850,-927417050,29374150,44237050,0
2020-12-10,720418700,637122800,129281100,-637322000,0,-11120200,455907450,176984500,-4845794850,3365215200,9307300,1471272350,0
2020-12-11,-288084100,25879850,785599700,-33062150,0,248883400,-187126150,-154583600,793101100,-1158367400,-32240650,397506950,0
2020-12-14,-14277550,191428050,-158955850,-424897850,0,0,-217651850,-132127550,428041150,310505050,17936400,-756482600,0
2020-12-15,-397098250,3592850,-100890550,-3518700,0,-42810000,38340500,35218350,-650953600,1206528900,-88409500,-467165800,0
2020-12-16,313665150,-680750,-237802750,487579500,0,0,-553425450,354252550,-1910650,-343824300,-17853300,363588250,0
2020-12-17,-284390450,-276300,-537183200,-6038950,-63165500,0,-221492050,14273400,1532004350,-468147050,34415750,-1098273050,0
2020-12-18,43864700,349448250,-49709450,54582200,0,0,-592670650,79750,-564789600,765832050,-6637250,-194405200,0
2020-12-21,120536000,-3577550,-309899850,-1447350,0,0,-8272850,-542179500,209481450,543509300,-8149650,-744841100,0
2020-12-22,-918647150,-76190850,-259197300,-1070100,0,0,-323608100,124525650,1810400450,-381692550,25479950,-1454187850,0
2020-12-23,-164069650,-744669150,-1275509750,0,0,0,-1775434300,33943300,2252534950,1703443650,-30239050,-3925739550,0
2020-12-24,1386901750,-5027850,114172000,-72100,0,0,-171479950,45735150,-2516502850,1195910000,-49636150,1370229000,0
2020-12-28,2735423200,30274750,-917265550,-59493450,89619800,0,-421823250,-32771000,-904296250,-493058600,-26609650,1423964500,0
2020-12-29,-725243800,59027400,290379600,-18131550,0,61725400,-53364100,80842000,-487488400,555527450,236726000,-304765050,0
2020-12-30,110302100,-17780100,179133300,-5500050,0,15685250,-246757150,10688900,-949865350,949328250,-45235150,45772250,0
2021-01-04,-1003670500,-310704150,-87368250,-50518850,0,0,21401900,40451300,1664626500,-302687650,28469700,-1390408550,0
2021-01-05,-806589150,-394627450,55184000,-3412600,0,0,-106552950,27426150,1390823250,-191333950,29082700,-1228572000,0
2021-01-06,1855739350,-185390400,797056850,-3862050,0,0,-73642400,-101742000,-3504741850,1221050850,-4468350,2288159350,0
2021-01-07,-1583073600,-63667800,-417014950,-6154950,0,0,-158070800,50000,3526446700,-1299899600,1385000,-2227932100,0
