날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,전체,기관합계
2021-10-12,17773,-35,-1157,-13565,0,0,530,-101330,158211,-66671,6244,0,-97784
2021-10-13,-13601,-94,6868,-858,0,-6,732,-70468,-27735,105427,-265,0,-77427
2021-10-14,-136696,-427,-7775,-5939,-600,-20,-28,-343000,332096,161623,766,0,-494485
2021-10-15,91831,-4,1068,-2270,0,-6,5890,37006,-255262,121259,488,0,133515
2021-10-18,-10853,2431,3081,5427,836,0,38997,61471,-18757,-86792,4159,0,101390
2021-10-19,681,-39,0,-119,0,0,13039,206065,-46205,-175840,2418,0,219627
2021-10-20,56094,-464,60330,741,0,0,-13989,2299,-92108,-11777,-1126,0,105011
2021-10-21,12111,-862,5829,-1151,0,0,0,210243,-108516,-116250,-1404,0,226170
2021-10-22,21349,-30,-784,-481,0,0,-82,292525,-67188,-245249,-60,0,312497
2021-10-25,19931,3621,44185,-2000,0,1286,1910,178178,-245760,172,-1523,0,247111
2021-10-26,30955,-52,3198,-17738,0,0,-646,69400,-58040,-26705,-372,0,85117
2021-10-27,-18070,-1451,-5260,-357,0,0,14337,-239685,178554,71642,290,0,-250486
2021-10-28,-31189,-1063,-125,-107,0,0,-3817,257915,-122695,-99183,264,0,221614
2021-10-29,-167662,193,-3394,-783,0,0,-7167,156621,181107,-158951,36,0,-22192
2021-11-01,13157,0,-1701,653,0,-14204,0,-1171,30758,-26558,-934,0,-3266
2021-11-02,-10144,-131,-3707,-3500,0,0,839,158299,-151241,6420,3165,0,141656
2021-11-03,-48117,-906,-40335,-9916,-6304,0,-11601,45700,241501,-175827,5805,0,-71479
2021-11-04,8799,-2880,28733,41613,0,0,-6591,121087,-19891,-171727,857,0,190761
2021-11-05,-26331,-87,-162,-8816,0,0,-27799,-303096,249151,115860,1280,0,-366291
2021-11-08,-37749,1281,27010,24346,0,0,13626,13396,-294663,258315,-5562,0,41910
2021-11-09,-45398,353,1803,500,0,0,-1000,-3739,22750,47468,-22737,0,-47481
2021-11-10,-27322,-48,-561,1739,0,0,5394,20010,-9011,9695,104,0,-788
2021-11-11,-4351,-56,-3762,214,0,0,0,134644,-39960,-85555,-1174,0,126689
2021-11-12,5420,-223,2247,-194,0,0,0,166525,-103892,-68728,-1155,0,173775
2021-11-15,12380,-191,-10138,824,0,0,-30095,-138506,190008,-23941,-341,0,-165726
2021-11-16,8635,-57,-4757,-300,0,0,4842,-19205,69107,-59206,941,0,-10842
2021-11-17,-2366,-135,-2817,257,0,0,-19650,10178,153624,-141157,2066,0,-14533
2021-11-18,25191,-1115,-5138,1418,0,0,-4981,4462,98685,-119490,968,0,19837
2021-11-19,4812,-977,-3023,-428,0,0,809,-3126,20464,-17260,-1271,0,-1933
2021-11-22,15174,-5132,-13296,-214,0,0,-144146,219637,-16052,-56510,539,0,72023
2021-11-23,-18061,-232,-10838,44384,0,0,-180,35485,49901,-100367,-92,0,50558
2021-11-24,-37903,-19023,-95287,-5134,0,0,3173,17430,292482,-156958,1220,0,-136744
2021-11-25,2746,-6461,-82833,-11586,0,1235,-95911,-15707,170682,38381,-546,0,-208517
2021-11-26,-28241,304,-1256,-82357,0,0,-79769,-12497,61485,141568,763,0,-203816
2021-11-29,-5219,-21775,-5246,-154540,0,0,-29534,-13864,-50415,278632,1961,0,-230178
2021-11-30,8444,-4595,-35817,65721,0,-761,-23361,-27209,-25108,43022,-336,0,-17578
2021-12-01,-14910,6823,1541,-10524,0,0,-6800,3304,-94107,114972,-299,0,-20566
2021-12-02,-26587,-11701,-7524,-2284,0,0,-6801,4,37322,17252,319,0,-54893
2021-12-03,-5423,-5825,-5774,-7208,0,-6926,-10885,-1906,144832,-100878,-7,0,-43947
2021-12-06,-6337,-5729,0,-4221,0,-240,-1530,6705,-4927,19168,-2889,0,-11352
2021-12-07,16650,-2539,20357,55391,0,0,-8788,2333,-39267,-43811,-326,0,83404
2021-12-08,18538,-146,-17546,0,0,0,0,9374,18337,-33009,4452,0,10220
2021-12-09,86660,13,-16906,-130,0,0,-2556,-1185,-59601,-5724,-571,0,65896
2021-12-10,-16012,-375,-1225,4428,0,0,-7297,40853,40800,-60631,-541,0,20372
2021-12-13,-11674,-32,12187,966,0,0,-69,50055,12456,-58980,-4909,0,51433
2021-12-14,2631,-98,-2058,-505,0,0,0,-5380,-53291,59023,-322,0,-5410
2021-12-15,3105,5,-286,-562,0,0,500,0,-33053,30291,0,0,2762
2021-12-16,7210,-67,-8406,-8418,0,0,-3757,-65,39522,-26227,208,0,-13503
2021-12-17,-13596,922,4153,-1872,0,0,-500,-249,-30583,41840,-115,0,-11142
2021-12-20,-14749,-362,-5161,-12997,0,0,-6744,-81,54860,-18580,3814,0,-40094
2021-12-21,12782,-566,-15427,2540,0,0,-6682,20960,-38553,24901,45,0,13607
2021-12-22,3093,30,-3569,28431,0,0,9285,-20171,-46599,29461,39,0,17099
2021-12-23,24922,-657,-2944,59517,0,-1000,-8633,0,-32605,-38463,-137,0,71205
2021-12-24,46922,-486,-14320,3512,0,0,-14212,453,-604,-21360,95,0,21869
2021-12-27,69722,-105,-657,-18,0,0,24532,25,-93224,26,-301,0,93499
2021-12-28,163833,2720,111,12529,0,0,3586,-19879,-220026,57410,-284,0,162900
2021-12-29,-99984,-9759,-7957,-1662,0,0,0,220,126783,-7207,-434,0,-119142
2021-12-30,-67917,-2,-5344,-764,0,-672,-255,3,89160,-14245,36,0,-74951
2022-01-03,-5114,-49,-95,-2356,0,0,0,-844,24519,-17647,1586,0,-8458
2022-01-04,-45419,0,1667,476,0,0,0,24,39952,3330,-30,0,-43252
2022-01-05,-4369,44,-6124,312,0,0,0,752,-14810,24165,30,0,-9385
2022-01-06,-3291,268,2715,177,0,0,0,2984,-66186,64828,-1495,0,2853
2022-01-07,-9764,-155,3780,-906,0,0,-105,1513,18854,-13165,-52,0,-5637
2022-01-10,-25003,0,-15796,-79,0,0,-3525,-4472,103362,-55168,681,0,-48875
2022-01-11,-6446,-749,-182,-48,0,0,0,-17,-11578,19135,-115,0,-7442
2022-01-12,60320,-6199,9966,-1222,0,0,-4752,5,-123905,66027,-240,0,58118
2022-01-13,120249,0,46327,3795,0,0,-6595,-4,-293384,129888,-276,0,163772
2022-01-14,13873,6239,5981,-4549,0,0,-3456,14,80969,-98633,-438,0,18102
2022-01-17,37720,148,-649,-354,0,0,-3042,-185,-53630,19691,301,0,33638
2022-01-18,32924,-276,-3327,-300,0,0,-1388,2,-52798,25076,87,0,27635
2022-01-19,-5316,-24566,-1668,-4888,0,0,-2670,1993,98411,-61195,-101,0,-37115
2022-01-20,24665,90,10002,-501,0,0,-9000,-553,-87720,63411,-394,0,24703
2022-01-21,-11938,-4,19281,-1566,0,0,0,-3488,5540,-7524,-301,0,2285
2022-01-24,43282,-438,-1339,6,0,0,-5834,-889,13548,-48625,289,0,34788
2022-01-25,26413,37,7520,13788,0,0,0,-3827,-54158,9495,732,0,43931
2022-01-26,39225,-351,6186,23068,0,0,-9554,-499,-80454,22512,-133,0,58075
2022-01-27,-12501,1424,6339,-536,0,556,0,182,68756,-64205,-15,0,-4536
2022-01-28,36984,-144,10320,8855,0,0,-6320,-288,-144159,95187,-435,0,49407
2022-02-03,-4938,85,13262,-28687,0,0,-11846,-12,22329,10927,-1120,0,-32136
2022-02-04,64944,35704,65265,47824,0,0,48663,23312,-397652,112686,-746,0,285712
2022-02-07,20383,13372,109086,113160,0,776,32742,-17147,-340294,74931,-7009,0,272372
2022-02-08,29629,9133,109310,17258,-4500,0,30015,2107,-203474,10050,472,0,192952
2022-02-09,26946,1167,13288,-23304,0,410,1646,-27496,154388,-147759,714,0,-7343
2022-02-10,-22397,614,543,14671,0,162,34449,6131,-39720,3138,2409,0,34173
2022-02-11,26292,1809,17603,1082,0,0,18452,-4483,1648,-63137,734,0,60755
2022-02-14,39462,503,22857,52309,0,-150,28163,1801,-158728,12725,1058,0,144945
2022-02-15,-31281,-140,12401,-23586,0,0,4850,-7159,24423,20338,154,0,-44915
2022-02-16,-800,2524,119611,97238,0,0,21024,-2718,-238124,1916,-671,0,236879
2022-02-17,42969,2733,58529,110322,0,0,48307,-744,-434451,172494,-159,0,262116
2022-02-18,-9980,15357,12283,66134,0,0,-2572,480,32124,-113814,-12,0,81702
2022-02-21,-6159,18975,5241,73481,0,-152,27841,736,-363055,242985,107,0,119963
2022-02-22,41245,3469,14068,34004,0,0,3890,8379,111851,-216320,-586,0,105055
2022-02-23,10346,347,6699,-30401,0,0,-10814,-3596,210862,-182783,-660,0,-27419
2022-02-24,14526,218,-10902,-129451,0,0,11225,-16541,259628,-128776,73,0,-130925
2022-02-25,8582,3118,5882,-7753,0,0,36117,821,-41437,-5166,-164,0,46767
2022-02-28,-34544,2786,14989,-51,0,546,19507,-123,47829,-51852,913,0,3110
2022-03-02,-17854,2924,5120,1753,0,-438,25548,1001,36267,-54375,54,0,18054
2022-03-03,15532,1370,-43974,11602,0,0,0,407,99006,-84051,108,0,-15063
2022-03-04,-19089,1062,2364,-21165,0,0,-46,1285,-34713,69947,355,0,-35589
2022-03-07,14375,428,-95095,2403,0,0,-670,419,141230,-63259,169,0,-78140
2022-03-08,33416,5551,-39760,-38392,0,0,11021,1610,-128374,154547,381,0,-26554
2022-03-10,34993,-1606,6213,3914,0,0,11116,-691,-123961,70442,-420,0,53939
2022-03-11,-8085,32221,62956,34842,0,0,56976,6515,-572682,385988,1269,0,185425
2022-03-14,-49010,375,430,-42396,0,0,0,4089,189449,-102857,-80,0,-86512
2022-03-15,9308,-2223,-17521,1866,0,0,0,-940,91183,-82610,937,0,-9510
2022-03-16,52471,-12,-6717,-94939,0,0,-24935,-3372,69380,6632,1492,0,-77504
2022-03-17,47853,2838,12161,1551,0,0,0,-635,-76219,15354,-2903,0,63768
2022-03-18,-31915,-12241,-13147,-78476,0,0,-21775,72,287801,-127677,-2642,0,-157482
2022-03-21,-12778,0,-675,-34547,0,0,-798,360,101472,-53694,660,0,-48438
2022-03-22,8215,-11,-4593,-1922,0,0,-139,-80,12317,-13568,-219,0,1470
2022-03-23,-3328,-2517,-30977,-4672,0,0,13762,-357,57937,-30001,153,0,-28089
2022-03-24,7585,-4262,-13541,-990,0,0,0,-15417,-15970,42345,250,0,-26625
2022-03-25,-52350,-13579,486,-3586,0,0,0,-4090,127748,-55061,432,0,-73119
2022-03-28,-40516,-2180,-26724,-5941,0,0,0,-5274,34823,49152,-3340,0,-80635
2022-03-29,-21482,0,-187,88007,0,0,0,-4060,-81343,19674,-609,0,62278
2022-03-30,-2472,-28,-70,-3169,0,0,0,-1631,23396,-15925,-101,0,-7370
2022-03-31,6442,-2990,-21872,10483,0,0,0,2007,58429,-52658,159,0,-5930
2022-04-01,77754,86974,39874,167941,0,5463,102432,-2525,-881969,412682,-8626,0,477913
2022-04-04,-32086,27654,52097,93349,0,0,34865,-1550,-171380,-1205,-1744,0,174329
2022-04-05,3383,20247,75489,296529,0,3091,-6639,109293,-658942,158402,-853,0,501393
2022-04-06,-76044,-8496,-14802,-86789,0,-808,-22132,-1838,200621,9591,697,0,-210909
2022-04-07,-34206,-7698,-44028,-123186,0,-1086,-16478,6556,298265,-78092,-47,0,-220126
2022-04-08,3305,-1796,-15329,-14960,0,0,-3311,-17379,136758,-88612,1324,0,-49470
2022-04-11,-19910,45,-18799,-139985,0,0,913,-8484,232840,-47366,746,0,-186220
2022-04-12,-5186,0,-9123,-55003,0,0,8623,3045,179637,-122710,717,0,-57644
2022-04-13,97983,21380,-9554,-12376,0,0,13614,5000,64631,-180522,-156,0,116047
2022-04-14,28303,0,-44675,-12255,0,0,0,4349,104001,-80015,292,0,-24278
2022-04-15,-5843,0,-15478,53430,0,0,28524,-37,-66089,5883,-390,0,60596
2022-04-18,-4313,0,-24502,9362,0,0,38472,2013,13,-18970,-2075,0,21032
2022-04-19,61111,1711,-79339,-4769,0,0,0,-1539,19270,6519,-2964,0,-22825
2022-04-20,-12913,4723,-25983,-25003,0,0,9772,1076,46785,1530,13,0,-48328
2022-04-21,6366,2065,-108536,-15856,0,0,0,1110,107353,7393,105,0,-114851
2022-04-22,-12062,-7028,-37760,-91204,0,0,-15748,513,200213,-38243,1319,0,-163289
2022-04-25,-22498,23774,-2056,-250,0,0,25989,-9610,-18141,1765,1027,0,15349
2022-04-26,60333,-22,1471,16330,0,0,0,-3282,-97736,23355,-449,0,74830
2022-04-27,-9287,11892,1239,-565,0,0,7431,200,-47461,33915,2636,0,10910
2022-04-28,35075,1232,12455,844,0,0,393,1325,-106755,54608,823,0,51324
2022-04-29,24295,2060,2028,888,0,0,1740,-8199,-91972,68822,338,0,22812
2022-05-02,-58,-9,12274,-265,0,0,0,-3,-104864,90692,2233,0,11939
2022-05-03,1324,-2,-6117,1476,0,0,5490,1770,41285,-43157,-2069,0,3941
2022-05-04,-29795,-25,-29923,49755,0,-2056,0,0,75168,-63009,-115,0,-12044
2022-05-06,-71351,-9881,-71540,30445,0,0,-18907,-1846,210470,-74702,7312,0,-143080
2022-05-09,-28666,1883,-19509,1150,0,0,-5000,10909,61586,-23205,852,0,-39233
2022-05-10,-26592,2500,-160,-1705,0,-6498,-8000,19139,78893,-58666,1089,0,-21316
2022-05-11,36847,5120,1625,-2861,0,0,-3466,-2414,-79656,44831,-26,0,34851
2022-05-12,-123953,-158,-4238,-446,0,0,-14279,9465,156859,-22004,-1246,0,-133609
2022-05-13,65803,1516,7469,50833,0,0,37438,-5380,-172405,13783,943,0,157679
2022-05-16,-2029,530,4150,24926,0,0,1700,-5904,90846,-114254,35,0,23373
2022-05-17,-11891,126,2050,816,0,0,0,-7040,87126,-71032,-155,0,-15939
2022-05-18,-29327,0,37595,-432,0,0,0,2200,-20593,9981,576,0,10036
2022-05-19,-38306,-2113,-8098,-1109,0,0,0,13764,6341,29058,463,0,-35862
2022-05-20,25567,7,30415,18994,0,0,1426,7385,-78800,-4941,-53,0,83794
2022-05-23,15732,-5421,-49750,-4530,0,-843,-21827,-81,36756,29114,850,0,-66720
2022-05-24,-55799,-2212,0,-21129,0,0,-11678,-3786,60321,34518,-235,0,-94604
2022-05-25,32785,0,75,56697,0,0,-7298,-69,-79074,-2988,-128,0,82190
2022-05-26,16507,348,231846,-23874,40095,0,14650,-758,-357372,79087,-529,0,278814
2022-05-27,-23934,77095,161337,121204,0,0,96501,-1487,-541330,108885,1729,0,430716
2022-05-30,22202,11,20985,-5482,0,0,12012,-3798,5534,-61926,10462,0,45930
2022-05-31,11821,0,64454,-29904,0,0,29795,-44671,-63923,42625,-10197,0,31495
2022-06-02,-37146,58679,16338,37110,0,0,6143,12018,-40761,-52255,-126,0,93142
2022-06-03,18692,18023,50139,67824,0,0,18756,-1555,-327486,156313,-706,0,171879
2022-06-07,-33725,8084,11360,14804,0,0,11627,-6484,-72951,67257,28,0,5666
2022-06-08,21100,2874,-20840,11087,0,0,10000,59,-43824,22755,-3211,0,24280
2022-06-09,-38322,434,-67236,-2182,0,0,11763,810,37085,56958,690,0,-94733
2022-06-10,-9138,14197,37743,27420,0,0,-3584,-1537,-100549,45602,-10154,0,65101
2022-06-13,-46918,84,-2465,3447,0,0,0,-9933,-45837,98600,3022,0,-55785
2022-06-14,33237,16234,9047,8719,0,0,-28452,-8806,-19111,-11020,152,0,29979
2022-06-15,7013,9817,19290,17012,0,0,21510,4780,18338,-100950,3190,0,79422
2022-06-16,11361,5255,11973,367,0,0,-19163,224,13787,-25494,1690,0,10017
2022-06-17,5444,1604,39526,11828,2837,0,-5000,-57,-81832,25622,28,0,56182
2022-06-20,-7721,0,70028,51169,0,0,0,-769,-69745,-42331,-631,0,112707
2022-06-21,2397,31491,25628,-56093,0,0,36707,-706,-53870,14380,66,0,39424
2022-06-22,-34819,4057,-6213,-3465,0,0,6265,2502,101768,-75317,5222,0,-31673
2022-06-23,136483,-38903,-160232,-325813,0,0,-13497,-10680,335638,73979,3025,0,-412642
2022-06-24,38772,-5299,-1997,-27166,0,-4148,33765,555,-26753,-7262,-467,0,34482
2022-06-27,-15119,9566,29871,-29217,0,-8840,3436,903,-87736,96967,169,0,-9400
2022-06-28,-34452,-9931,-40291,-15173,0,0,-2476,-24556,160486,-33837,230,0,-126879
2022-06-29,-37773,38015,19740,-34827,0,0,40123,-189,28062,-53060,-91,0,25089
2022-06-30,-30178,26487,5763,2697,0,0,18652,13806,24973,-62817,617,0,37227
2022-07-01,-11154,-10921,-74933,-10966,0,0,4170,100,72439,28591,2674,0,-103704
2022-07-04,7740,2328,4462,-2855,0,0,2672,541,15123,-29928,-83,0,14888
2022-07-05,90109,13064,9319,-63186,0,0,12433,556,-47092,-14771,-432,0,62295
2022-07-06,22802,5736,34696,-102356,0,0,8266,2011,-8659,36704,800,0,-28845
2022-07-07,11721,2724,310,-2856,0,0,5521,170286,-120592,-66706,-408,0,187706
2022-07-08,16367,-4729,8825,11965,0,0,-6300,2703,-5880,-22955,4,0,28831
2022-07-11,-39604,-102028,-107459,-40830,0,0,-48478,-228603,795994,-230125,1133,0,-567002
2022-07-12,27486,-43818,-92151,-38521,0,0,-19020,-5101,82616,87102,1407,0,-171125
2022-07-13,5512,-422,28534,8076,0,0,0,-20104,-143155,123994,-2435,0,21596
2022-07-14,-45061,1330,51838,-3073,0,0,0,-17060,-68214,80990,-750,0,-12026
2022-07-15,11490,-2878,-23199,-2877,0,0,0,-60514,83657,-6175,496,0,-77978
2022-07-18,-9924,-8,1250,-398,0,0,0,-112448,24283,96902,343,0,-121528
2022-07-19,5609,-3781,6457,293,0,0,-1259,-96500,114157,-26092,1116,0,-89181
2022-07-20,22440,15,-9230,-1215,0,0,5679,-103007,-23259,109141,-564,0,-85318
2022-07-21,-949,1941,-30402,9551,0,0,-3956,-26424,-13826,63955,110,0,-50239
2022-07-22,-36718,18571,5937,17132,0,0,3653,295886,-217059,-87465,63,0,304461
2022-07-25,11582,-970,-1222,-1429,0,0,0,145375,-66879,-86308,-149,0,153336
2022-07-26,-639,-13610,-477,-13560,0,0,0,18598,39684,-29593,-403,0,-9688
2022-07-27,4955,41,-10011,-6392,0,0,-2193,29165,10514,-26180,101,0,15565
2022-07-28,13243,11978,118354,36282,0,0,6795,45946,-190659,-41894,-45,0,232598
2022-07-29,12430,796,6194,26267,0,0,7877,56700,-3690,-106512,-62,0,110264
2022-08-01,-18372,708,19869,41187,0,0,0,-626,-11884,-30782,-100,0,42766
2022-08-02,-1076,13886,103873,53823,0,0,56317,37975,-167693,-91026,-6079,0,264798
2022-08-03,39729,20503,120804,58368,0,245,45523,44647,-230035,-99676,-108,0,329819
2022-08-04,-83510,8437,100461,54013,4182,35,123811,-21656,-164712,-19139,-1922,0,185773
2022-08-05,17477,3104,8367,10155,0,68,35861,7263,-5276,-77064,45,0,82295
2022-08-08,-22262,-40227,26270,99007,1640,0,8284,67898,-131380,-9249,19,0,140610
2022-08-09,-52771,0,57068,18307,0,0,23426,51450,-52040,-45758,318,0,97480
2022-08-10,-28851,-32,36133,-5760,8750,0,18589,68116,-60902,-36058,15,0,96945
2022-08-11,-14531,28401,73643,12230,0,0,-15051,60555,-169940,24946,-253,0,145247
2022-08-12,-3532,-24,15567,4268,0,0,107,-40969,-55587,80520,-350,0,-24583
2022-08-16,-19082,2246,-3894,-38189,2834,0,102,36693,-80744,100006,28,0,-19290
2022-08-17,-45989,-1894,-14764,-5296,0,0,0,44,-29953,98304,-452,0,-67899
2022-08-18,23328,14398,2570,18327,0,0,-112789,-14514,-124549,193321,-92,0,-68680
2022-08-19,-23748,3980,12656,810,0,0,4524,-42765,-4256,48766,33,0,-44543
2022-08-22,-26517,-5813,5126,1261,0,0,-74,-30575,-121848,178493,-53,0,-56592
2022-08-23,-49717,6508,5301,8677,1054,17,24958,-134988,17963,118292,1935,0,-138190
2022-08-24,-25543,51969,289841,266295,4650,10328,85059,-192013,-466236,-25502,1152,0,490586
2022-08-25,12012,-6519,37748,28055,1193,18,20062,-1914,-69486,-28259,7090,0,90655
2022-08-26,-22416,438,2047,-14591,0,0,12213,-1347,143448,-125868,6076,0,-23656
2022-08-29,-4693,10499,80398,14265,1151,188,51090,-116331,-51147,17365,-2785,0,36567
2022-08-30,13170,13625,50453,26402,0,2754,30434,4695,917,-144267,1817,0,141533
2022-08-31,-4278,-17967,22890,90075,1233,20403,-2615,609,-76778,-34719,1147,0,110350
2022-09-01,-70306,26902,65620,105658,0,124,77,-136675,-126716,149639,-14323,0,-8600
2022-09-02,19016,29848,46519,257609,0,0,53603,-48940,-215437,-141002,-1216,0,357655
2022-09-05,-2302,15351,4749,-12098,0,0,49294,-53974,-44297,43349,-72,0,1020
2022-09-06,-26793,-7523,18119,-2116,0,0,-6375,42,-5149,29693,102,0,-24646
2022-09-07,-11149,8183,54948,-2348,1287,-1505,40465,9739,-54586,-45231,197,0,99620
2022-09-08,25694,936,-7846,27536,807,0,-29119,27715,-33047,-2747,-9929,0,45723
2022-09-13,73948,0,33245,4623,0,309,-59,-31990,-95885,9632,6177,0,80076
2022-09-14,-51349,3649,107448,3416,124,0,0,-32287,-50518,19140,377,0,31001
2022-09-15,-28554,4972,18603,51205,0,0,0,-55517,-12241,21067,465,0,-9291
2022-09-16,-1939,859,-8,2161,0,0,-1816,28946,-46194,17606,385,0,28203
2022-09-19,21087,8126,26987,7637,0,0,5000,18876,-40511,-40595,-6607,0,87713
2022-09-20,46361,9120,75848,149080,0,0,96584,-94909,-464262,182596,-418,0,282084
2022-09-21,39912,655,12812,-32863,0,-2006,8139,-2745,4646,-31802,3252,0,23904
2022-09-22,-19513,-4090,82807,34616,0,0,100000,-3232,-35265,-156006,683,0,190588
2022-09-23,28513,-93270,-1241,-71866,-46981,0,207356,-57202,308352,-263440,-10221,0,-34691
2022-09-26,200180,-7402,-10938,19261,0,0,290,14918,-135160,-80734,-415,0,216309
2022-09-27,-142791,-18757,97896,-122823,-2776,0,297638,-5590,-408638,304772,1069,0,102797
2022-09-28,48139,4764,-7448,-65543,0,1139,10402,-1644,-42189,46840,5540,0,-10191
2022-09-29,7004,414,13059,-64544,0,0,68279,234,-1085,-29321,5960,0,24446
2022-09-30,-50026,152,-19738,-1636,0,0,-6255,4951,-20082,96085,-3451,0,-72552
2022-10-04,30886,21027,-14081,-27299,0,0,6509,-4071,-43687,31022,-306,0,12971
2022-10-05,7170,-538,-49471,-96700,0,0,10443,-8398,68662,68102,730,0,-137494
2022-10-06,40127,-25947,-92407,-116759,0,0,-18254,3668,201382,8225,-35,0,-209572
2022-10-07,-16164,5174,74446,-41218,-2934,1701,99140,11079,-273475,142315,-64,0,131224
2022-10-11,-140427,-3931,-110850,58305,0,0,-29490,44495,210062,-31397,3233,0,-181898
2022-10-12,12540,-4613,-70821,-43864,-2312,0,-13724,1848,117966,14912,-11932,0,-120946
2022-10-13,24211,-9467,-147196,-47043,0,0,-31810,424,95452,113299,2130,0,-210881
2022-10-14,3154,32841,-31527,36196,0,0,43413,244,-75047,-6127,-3147,0,84321
2022-10-17,-23454,-84,20616,15065,0,0,32953,781,67501,-113400,22,0,45877
2022-10-18,110607,22904,111168,31122,-2510,0,63945,22,-317985,-18517,-756,0,337258
2022-10-19,-14918,-16326,-63065,-12581,-247,0,39532,84,43224,23346,951,0,-67521
2022-10-20,-33362,-2748,7657,-13423,0,-1,-172,654,77608,-38213,2000,0,-41395
2022-10-21,-30671,1300,-4721,20082,0,0,10156,-154,-11174,14182,1000,0,-4008
2022-10-24,47787,-2445,-5134,-2758,0,0,-20000,2374,156935,-180883,4124,0,19824
2022-10-25,-109087,-30057,-40750,74137,0,0,-32341,456,169570,-39174,7246,0,-137642
2022-10-26,1087,-13650,-78557,47685,527,0,-26028,223,14191,49744,4778,0,-68713
2022-10-27,31674,10836,-66296,61165,-5280,-1,-31737,857,21167,-22489,104,0,1218
2022-10-28,22800,-40,-11242,57188,-12650,0,0,5241,-91369,30271,-199,0,61297
2022-10-31,16872,-4239,-33950,11164,0,-328,192,-989,-9675,20826,127,0,-11278
2022-11-01,33183,-11,14188,-3508,0,0,-21876,251,-76963,54722,14,0,22227
2022-11-02,-4353,0,15707,51026,-2747,0,-1340,-6412,-125169,74683,-1395,0,51881
2022-11-03,-27105,-17262,-25399,29459,-9336,0,-13475,5141,50231,8594,-848,0,-57977
2022-11-04,-18804,-7900,-209574,80904,0,9000,36013,-3120,-60326,187506,-13699,0,-113481
2022-11-07,18736,-13042,-88797,54859,0,0,-35575,-5898,70197,-957,477,0,-69717
2022-11-08,14073,-2993,56626,35039,0,0,-5891,-1268,-131458,36597,-725,0,95586
2022-11-09,-28737,-7501,-88215,14539,0,0,-56287,4459,52565,108875,302,0,-161742
2022-11-10,6668,-10770,26429,-66809,0,-4000,-42997,515,28061,62922,-19,0,-90964
2022-11-11,239487,119559,-77,31960,0,-5000,-48417,-66512,-846570,581278,-5708,0,271000
2022-11-14,-43784,15586,58221,8795,0,0,-24896,-73740,-136864,197211,-529,0,-59818
2022-11-15,43297,2267,23446,-26580,0,-1419,-330,-95494,-194297,249227,-117,0,-54813
2022-11-16,-34992,38482,20063,-61619,0,0,10445,-134422,-196244,359148,-861,0,-162043
2022-11-17,-72775,0,1236,-196696,0,0,3794,-33428,-29240,327137,-28,0,-297869
2022-11-18,-23132,-39554,-27907,-117161,0,0,-24326,407,-64490,296450,-287,0,-231673
2022-11-21,-34730,-29183,-139630,-120950,0,0,-19578,64859,56707,222079,426,0,-279212
2022-11-22,-67382,-135302,-157715,-25452,0,0,-65380,2525,218321,228015,2370,0,-448706
2022-11-23,5024,1003,18164,-56726,0,0,-45,1538,-66160,95028,2174,0,-31042
2022-11-24,6702,59613,-2578,4084,0,0,16030,31574,-41998,-72626,-801,0,115425
2022-11-25,-10288,5369,9588,-12317,0,0,51342,4595,-13083,-32208,-2998,0,48289
2022-11-28,-50996,15241,-28315,-16015,0,0,1508,12393,1206,64447,531,0,-66184
2022-11-29,69867,54361,108265,10132,0,0,57540,-175565,-322255,198533,-878,0,124600
2022-11-30,-9891,79356,132150,244421,0,0,1443,-121606,-503843,177929,41,0,325873
2022-12-01,79877,27942,12905,191775,0,0,11181,-554943,59452,170369,1442,0,-231263
2022-12-02,-69196,11266,54642,65923,0,0,5000,563,-178083,109781,104,0,68198
2022-12-05,74364,-1138,232742,311615,0,-50,97433,-272648,-459964,19602,-1956,0,442318
2022-12-06,-14048,-4,18297,47103,0,0,8339,-44374,-87534,72696,-475,0,15313
2022-12-07,-27140,11391,6587,-88392,0,0,18973,-200510,101135,177067,889,0,-279091
2022-12-08,-12216,-19558,-94415,-139623,0,0,8836,162085,-77322,172229,-16,0,-94891
2022-12-09,46762,-27607,34348,-46845,0,860,-41012,7723,-65853,91075,549,0,-25771
2022-12-12,-54436,-8807,2806,40974,0,320,49094,15420,-45224,-112,-35,0,45371
2022-12-13,-13021,-30919,-10660,-30878,0,425,60604,-4035,-9494,38003,-25,0,-28484
2022-12-14,1507,15051,37063,-25652,0,0,0,-30587,-44181,47226,-427,0,-2618
2022-12-15,-29075,-2185,-48072,55469,0,0,-26722,34268,35224,-20136,1229,0,-16317
2022-12-16,-16228,-60,83017,30175,0,0,-6027,71303,-224024,62751,-907,0,162180
2022-12-19,-35826,-3690,-5795,46704,0,0,100942,28973,-77344,-53699,-265,0,131308
2022-12-20,-46457,-12600,-42455,-98181,0,0,-8316,140173,20186,52751,-5101,0,-67836
2022-12-21,17960,-14563,-4872,-1627,0,0,-1410,81261,-80735,5004,-1018,0,76749
2022-12-22,45361,-4465,-7337,9111,-4211,0,-48627,34156,-72146,48477,-319,0,23988
2022-12-23,-46298,-9844,14776,37860,0,0,-10,77297,-74184,-215,618,0,73781
2022-12-26,95487,-19325,-23946,33683,0,0,-71054,-2966,-116054,104078,97,0,11879
